"id","naam","added_when","added_by","timestamp"
3605,"burgervaartuig                                    ","2008-12-24 14:20:35+01","kwi                                               ","2008-12-24 13:20:36"
3915,"sloep van de burger vaandrig Dirk Christoffel     ","2009-08-17 12:00:22+02","hni                                               ","2012-07-18 08:14:02"
4159,"sloep van de burger perkenier Hans Bering         ","2010-03-30 17:20:32+02","hni                                               ","2012-07-18 08:06:01"
4161,"burgersloep, 1                                    ","2010-03-31 12:27:30+02","hni                                               ","2013-03-27 11:40:54"
4240,"sloep van de burger Simon Esque                   ","2010-08-03 14:00:22+02","aku                                               ","2012-07-18 08:13:48"
4243,"burgersloep, 2                                    ","2010-08-03 14:11:19+02","aku                                               ","2013-03-27 10:32:27"
4246,"sloep van de burger Ipert van Maarhuijsen         ","2010-08-03 15:21:30+02","aku                                               ","2012-07-18 08:13:00"
4247,"burger- en Chinese sloep, 6                       ","2010-08-03 15:23:48+02","aku                                               ","2013-03-27 10:32:07"
4249,"sloep van de burger Pieter Sandbeek               ","2010-08-03 15:52:15+02","aku                                               ","2012-07-18 08:13:38"
4272,"sloep van de burger Dominicus Macquelijn          ","2010-08-18 16:34:18+02","aku                                               ","2012-07-18 08:12:49"
4322,"chiampan van de Europese burger Thobias Wijs      ","2010-11-05 12:14:30+01","aku                                               ","2013-03-27 13:10:23"
4324,"sloep van de burger Nicolaas Gilbertz             ","2010-11-18 11:41:36+01","aku                                               ","2012-07-18 08:13:30"
4412,"sloep van de burger Jan Michiel Hulder            ","2012-06-08 14:37:45+02","SanderT                                           ","2012-07-18 08:13:11"
4468,"sloep van de burger Michiel de Vreede             ","2012-06-18 13:40:53+02","nicolienK                                         ","2012-06-18 11:40:53"
4489,"sloep van de burger Lucas Stuurmans               ","2012-06-27 13:58:33+02","SanderT                                           ","2012-07-18 08:13:22"
4503,"sloep van de burger Isaak Enko                    ","2012-07-03 09:49:34+02","DorineS                                           ","2012-07-18 08:13:06"
4505,"sloep van de burger Johannes Tawaris              ","2012-07-03 10:01:18+02","DorineS                                           ","2012-07-18 08:13:17"
4516,"sloep van de Moorse burger Kan Soko               ","2012-07-06 09:34:53+02","JorisT                                            ","2012-07-18 08:06:39"
4565,"sloep van de burger Abram Holscher                ","2012-07-25 14:01:05+02","DorineS                                           ","2012-07-25 12:01:05"
4572,"sloep van de burger Hendrik Zandijk               ","2012-07-26 10:31:54+02","JorisT                                            ","2012-10-03 12:36:20"
4616,"sloep van de burger Hans Groo                     ","2012-08-20 16:25:29+02","DorineS                                           ","2012-08-20 14:25:29"
4618,"sloep van de burger Spe Woutersz                  ","2012-08-21 09:33:50+02","DorineS                                           ","2012-08-21 07:33:50"
4619,"burgersloep, verscheidene                         ","2012-08-21 09:41:18+02","DorineS                                           ","2013-03-27 11:22:14"
4621,"sloep van de burger Hans Nijmans                  ","2012-08-21 12:51:38+02","DorineS                                           ","2012-08-21 10:51:38"
