"id","naam","added_when","added_by","timestamp"
3301,"Chinees vaartuig                                  ","2008-07-24 15:29:02+02","hni                                               ","2013-03-19 15:51:26"
3381,"sloep van de Chinees Tan Hieko                    ","2008-08-28 11:24:30+02","hni                                               ","2012-07-18 08:06:22"
3400,"particuliere Chinese sloep, 1                     ","2008-09-10 10:26:12+02","jsc                                               ","2013-03-27 11:16:38"
3472,"Chinko Pinko                                      ","2008-09-24 12:57:03+02","hni                                               ","2008-09-24 10:57:03"
3693,"Chinese bark                                      ","2009-02-06 17:40:00+01","hni                                               ","2009-02-06 16:40:02"
3861,"Chinese jonk, 2                                   ","2009-05-20 14:54:33+02","hni                                               ","2013-03-27 10:32:46"
3919,"sloep van de Chinees Louw Toanko                  ","2009-08-31 14:36:21+02","hni                                               ","2009-08-31 12:36:22"
4078,"sloep van de Chinees Nihamboen                    ","2010-01-13 16:13:53+01","hni                                               ","2012-07-18 08:14:18"
4091,"Chinese sloep, 5                                  ","2010-01-18 15:01:00+01","hni                                               ","2013-03-27 10:32:57"
4136,"Chinese sampan                                    ","2010-03-24 13:35:01+01","jsc                                               ","2010-03-24 12:35:02"
4245,"sloep van de Chinees Quekoko                      ","2010-08-03 15:11:35+02","aku                                               ","2012-07-18 08:14:28"
4247,"burger- en Chinese sloep, 6                       ","2010-08-03 15:23:48+02","aku                                               ","2013-03-27 10:32:07"
4248,"sloep van de Chinees Tsitionko                    ","2010-08-03 15:26:55+02","aku                                               ","2012-07-18 08:14:40"
4278,"Chinese sloep, 1                                  ","2010-08-19 16:08:48+02","aku                                               ","2013-03-27 11:41:03"
4409,"sloep van de Chinees Tan Tjeenko                  ","2012-06-08 14:14:48+02","SanderT                                           ","2012-07-18 08:06:34"
4482,"sloep van de Chinees Ontoeko                      ","2012-06-22 15:42:32+02","SanderT                                           ","2013-03-19 15:51:47"
4504,"sloep van de Chinees Lim Theenko                  ","2012-07-03 09:51:11+02","DorineS                                           ","2012-07-18 08:14:10"
4506,"sloep van de Chinees Tsjanko                      ","2012-07-03 10:22:53+02","DorineS                                           ","2012-07-18 08:14:48"
4507,"sloep van de Chinees Tan Tjauko                   ","2012-07-03 10:33:28+02","DorineS                                           ","2012-07-18 08:14:35"
4514,"sloep van de Chinees Tan Sihoe                    ","2012-07-06 09:23:47+02","JorisT                                            ","2012-07-18 08:06:26"
4515,"sloep van de Chinees Ain Jukiang                  ","2012-07-06 09:31:44+02","JorisT                                            ","2012-07-18 08:06:05"
4518,"sloep van de Chinees Que Joeko                    ","2012-07-06 09:37:59+02","JorisT                                            ","2012-07-18 08:06:14"
4564,"sloep van de Chinees Ongswanco                    ","2012-07-25 13:35:22+02","DorineS                                           ","2012-07-25 11:35:21"
4584,"sloep van de Chinees Anachoda Ongswanko           ","2012-07-26 15:13:24+02","SanderT                                           ","2013-03-19 15:52:16"
4595,"sloep van de Chinees Tan Kanko                    ","2012-07-31 09:27:18+02","NicolienK                                         ","2012-07-31 07:27:18"
4617,"sloep van de Chinees Tsjoatoaka                   ","2012-08-20 16:26:25+02","DorineS                                           ","2012-08-20 14:26:25"
4640,"vaartuig van de Chinees Queanko                   ","2012-09-05 10:52:27+02","JorisT                                            ","2012-09-05 08:52:27"
4648,"Couchin                                           ","2012-09-06 10:08:07+02","JorisT                                            ","2012-09-06 08:08:07"
4679,"sloep van de Chinese kapitein Ongwatko            ","2012-09-18 10:49:25+02","SanderT                                           ","2013-06-26 13:41:47"
4739,"sloep van de Chinees Santianho                    ","2012-10-29 15:46:33+01","DorineS                                           ","2012-10-29 14:46:21"
4762,"sloep van de Chinees Oemko                        ","2012-12-05 10:23:49+01","DorineS                                           ","2013-03-19 15:51:41"
4764,"sloep van de Chinees Alstsjeenko                  ","2012-12-05 10:42:29+01","DorineS                                           ","2013-03-19 15:51:37"
