"id","naam","added_when","added_by","timestamp"
3254,"inlands vaartuig, 1                               ","2008-07-07 16:46:22+02","rbo                                               ","2013-03-27 11:01:38"
3433,"inlandse pantjalang, 3                            ","2008-09-17 17:47:41+02","hni                                               ","2013-03-27 11:02:59"
3434,"inlands vaartuig, 5                               ","2008-09-17 17:49:37+02","hni                                               ","2013-03-27 11:04:04"
3443,"inlands vaartuig, 31                              ","2008-09-18 13:56:47+02","hni                                               ","2013-03-27 11:04:12"
3444,"inlands particulier vaartuig, 10                  ","2008-09-18 13:58:15+02","hni                                               ","2013-03-27 11:03:06"
3509,"inlands vaartuig, 2                               ","2008-10-22 13:20:56+02","jsc                                               ","2013-03-27 11:04:19"
3522,"inlands vaartuig, 4                               ","2008-11-06 15:30:59+01","kwi                                               ","2013-03-27 11:04:06"
3671,"inlandse sloep, 1                                 ","2009-01-20 14:46:54+01","hni                                               ","2013-03-27 11:03:12"
3721,"inlandse pantjalang                               ","2009-02-27 13:19:30+01","hni                                               ","2009-03-11 10:11:16"
4110,"inlands vaartuig, 3                               ","2010-02-19 16:05:02+01","aku                                               ","2013-03-27 11:04:14"
4114,"inlands vaartuig, 19                              ","2010-03-05 12:38:54+01","aku                                               ","2013-03-27 11:04:20"
4115,"inlands vaartuig, verscheidene                    ","2010-03-10 14:49:56+01","aku                                               ","2013-03-27 11:22:37"
4217,"inlands vaartuig, diverse                         ","2010-06-21 12:21:33+02","aku                                               ","2013-03-27 11:03:27"
4228,"inlands vaartuig, 18                              ","2010-06-29 15:14:37+02","hni                                               ","2013-03-27 11:04:22"
4233,"inlands vaartuig, 7                               ","2010-07-21 12:01:35+02","hni                                               ","2013-03-27 11:04:02"
4294,"inlands vaartuig, 35                              ","2010-09-14 16:45:47+02","hni                                               ","2013-03-27 11:04:08"
4295,"inlands vaartuig, 20                              ","2010-09-14 17:52:23+02","hni                                               ","2013-03-27 11:04:18"
4382,"inlands vaartuig, 9                               ","2012-06-06 15:47:02+02","DorineS                                           ","2013-03-27 11:03:59"
4404,"inlands vaartuig, 30                              ","2012-06-08 12:08:52+02","SanderT                                           ","2013-03-27 11:04:13"
4410,"inlandse sloep, 2                                 ","2012-06-08 14:19:09+02","SanderT                                           ","2013-03-27 11:03:15"
4411,"inlandse sloep, 3                                 ","2012-06-08 14:35:56+02","SanderT                                           ","2013-03-27 11:03:22"
4423,"inlands handelsvaartuig, 42                       ","2012-06-08 16:33:34+02","JorisT                                            ","2013-03-27 11:02:51"
4426,"inlandse gonting, 1                               ","2012-06-11 11:10:47+02","DorineS                                           ","2013-03-27 11:02:02"
4427,"inlandse gonting, 5                               ","2012-06-11 11:15:35+02","DorineS                                           ","2013-03-27 11:02:04"
4440,"inlands vaartuig, 14                              ","2012-06-13 12:15:16+02","NicolienK                                         ","2013-03-27 11:04:26"
4591,"inlands vaartuig, 13                              ","2012-07-30 12:27:25+02","NicolienK                                         ","2013-03-27 11:04:29"
4592,"inlands vaartuig, 16                              ","2012-07-30 12:29:05+02","NicolienK                                         ","2013-03-27 11:04:23"
4593,"inlands vaartuig, 12                              ","2012-07-30 13:21:14+02","NicolienK                                         ","2013-03-27 11:04:30"
4613,"inlands vaartuig, 6                               ","2012-08-15 14:38:34+02","DorineS                                           ","2013-03-27 11:04:03"
4656,"gehuurd inlands vaartuig,1                        ","2012-09-06 15:55:04+02","SanderT                                           ","2013-03-27 11:50:20"
4658,"inlands vaartuig van Intje Kandal                 ","2012-09-06 17:11:06+02","SanderT                                           ","2012-09-06 15:11:06"
4674,"gehuurd inlands vaartuig, 10                      ","2012-09-14 16:21:58+02","NicolienK                                         ","2013-03-27 11:49:08"
