"id","naam","added_when","added_by","timestamp"
3298,"Phoenix (sloep)                                   ","2008-07-24 11:56:29+02","hni                                               ","2013-05-08 10:29:58"
3350,"particuliere sloep, 1                             ","2008-08-21 12:27:24+02","hni                                               ","2013-03-27 11:17:31"
3381,"sloep van de Chinees Tan Hieko                    ","2008-08-28 11:24:30+02","hni                                               ","2012-07-18 08:06:22"
3400,"particuliere Chinese sloep, 1                     ","2008-09-10 10:26:12+02","jsc                                               ","2013-03-27 11:16:38"
3471,"particuliere sloep, 3                             ","2008-09-24 12:49:45+02","jsc                                               ","2013-03-27 11:15:28"
3671,"inlandse sloep, 1                                 ","2009-01-20 14:46:54+01","hni                                               ","2013-03-27 11:03:12"
3720,"koningssloep, 1                                   ","2009-02-26 17:04:44+01","hni                                               ","2013-03-19 13:27:02"
3818,"gehuurde sloep, 1                                 ","2009-04-23 10:17:37+02","aku                                               ","2013-03-27 10:57:46"
3915,"sloep van de burger vaandrig Dirk Christoffel     ","2009-08-17 12:00:22+02","hni                                               ","2012-07-18 08:14:02"
3919,"sloep van de Chinees Louw Toanko                  ","2009-08-31 14:36:21+02","hni                                               ","2009-08-31 12:36:22"
3969,"nieuwe sloep, 2                                   ","2009-11-24 11:12:53+01","hni                                               ","2013-03-27 11:13:44"
4078,"sloep van de Chinees Nihamboen                    ","2010-01-13 16:13:53+01","hni                                               ","2012-07-18 08:14:18"
4091,"Chinese sloep, 5                                  ","2010-01-18 15:01:00+01","hni                                               ","2013-03-27 10:32:57"
4157,"sloep, 1                                          ","2010-03-29 17:10:14+02","hni                                               ","2013-03-19 13:27:36"
4159,"sloep van de burger perkenier Hans Bering         ","2010-03-30 17:20:32+02","hni                                               ","2012-07-18 08:06:01"
4161,"burgersloep, 1                                    ","2010-03-31 12:27:30+02","hni                                               ","2013-03-27 11:40:54"
4179,"sloep, 2                                          ","2010-04-27 11:33:12+02","hni                                               ","2013-03-27 11:20:45"
4180,"sloep, 3                                          ","2010-04-27 14:33:08+02","hni                                               ","2013-03-27 11:21:11"
4240,"sloep van de burger Simon Esque                   ","2010-08-03 14:00:22+02","aku                                               ","2012-07-18 08:13:48"
4243,"burgersloep, 2                                    ","2010-08-03 14:11:19+02","aku                                               ","2013-03-27 10:32:27"
4245,"sloep van de Chinees Quekoko                      ","2010-08-03 15:11:35+02","aku                                               ","2012-07-18 08:14:28"
4246,"sloep van de burger Ipert van Maarhuijsen         ","2010-08-03 15:21:30+02","aku                                               ","2012-07-18 08:13:00"
4247,"burger- en Chinese sloep, 6                       ","2010-08-03 15:23:48+02","aku                                               ","2013-03-27 10:32:07"
