"id","naam","added_when","added_by","timestamp"
3204,"houtvlot, 1                                       ","2008-06-25 14:12:35+02","jsc                                               ","2013-03-27 11:27:55"
3285,"lastvlot                                          ","2008-07-17 09:39:24+02","mjo                                               ","2008-07-17 07:39:24"
3421,"houtvlot, 3                                       ","2008-09-17 11:28:49+02","hni                                               ","2013-03-27 11:00:26"
3493,"houtvlot, 2                                       ","2008-10-08 10:25:14+02","jsc                                               ","2013-03-27 11:00:20"
3574,"houtvlot, 5                                       ","2008-12-04 14:56:08+01","kwi                                               ","2013-03-27 10:59:15"
3939,"houtvlot, 4                                       ","2009-09-24 13:19:59+02","kwi                                               ","2013-03-27 11:00:30"
3961,"houtvlot, 2, nr. 5 en 6                           ","2009-10-30 15:25:35+01","aku                                               ","2013-03-27 11:00:24"
4131,"dubbel houtvlot, 2                                ","2010-03-24 10:09:27+01","jsc                                               ","2013-03-27 10:38:57"
4301,"dubbel houtvlot, 4                                ","2010-09-16 16:50:28+02","hni                                               ","2013-03-27 10:38:52"
4386,"Huis de Vlotter                                   ","2012-06-07 10:25:30+02","JorisT                                            ","2012-06-07 08:25:30"
4420,"houtvlot, 20                                      ","2012-06-08 16:12:00+02","SanderT                                           ","2013-03-27 10:59:07"
4421,"houtvlot, 6                                       ","2012-06-08 16:17:46+02","SanderT                                           ","2013-03-27 11:00:34"
4428,"houtvlot, 13                                      ","2012-06-11 13:07:11+02","DorineS                                           ","2013-03-27 11:00:16"
4585,"dubbel houtvlot, 3                                ","2012-07-26 15:15:59+02","JorisT                                            ","2013-03-27 10:38:55"
4696,"houtvlot nr. 13                                   ","2012-09-24 15:42:16+02","NicolienK                                         ","2012-09-24 13:42:17"
4697,"houtvlot nr. 14                                   ","2012-09-24 15:42:28+02","NicolienK                                         ","2012-09-24 13:42:28"
4698,"houtvlot nr. 15                                   ","2012-09-24 15:42:47+02","NicolienK                                         ","2012-09-24 13:42:48"
4699,"houtvlot nr. 16                                   ","2012-09-24 15:42:57+02","NicolienK                                         ","2012-09-24 13:42:57"
4717,"houtvlot, 2, nr. 13 en 14                         ","2012-10-10 09:45:23+02","DorineS                                           ","2013-03-27 11:00:22"
4765,"klein vlot, enkele                                ","2012-12-05 14:11:59+01","NicolienK                                         ","2013-03-27 11:08:12"
4860,"Carwelaans vlot                                   ","2013-03-04 14:32:40+01","DorineS                                           ","2013-03-04 13:32:40"
4861,"houtvlot nr. 1                                    ","2013-03-04 14:34:15+01","DorineS                                           ","2013-03-04 13:34:15"
4862,"houtvlot nr. 4                                    ","2013-03-04 14:35:04+01","DorineS                                           ","2013-03-04 13:35:04"
4863,"Semarangs houtvlot                                ","2013-03-06 12:18:53+01","DorineS                                           ","2013-03-20 15:52:41"
4864,"Japara's houtvlot nr. 4                           ","2013-03-06 12:20:27+01","DorineS                                           ","2013-03-06 11:20:27"
4878,"Gresiks houtvlot, 1                               ","2013-03-26 13:12:10+01","dorines                                           ","2013-03-27 10:58:37"
4879,"Djoana's houtvlot nr. 1                           ","2013-03-26 13:16:25+01","dorines                                           ","2013-03-26 12:16:25"
4880,"Rembangs houtvlot nr. 3                           ","2013-03-26 13:17:52+01","dorines                                           ","2013-03-26 12:17:52"
4908,"houtvlot, 2, nr. 4 en 5                           ","2013-05-27 11:00:48+02","NicolienK                                         ","2013-05-27 09:00:48"
4933,"houtvlot, nr. 1                                   ","2013-06-28 12:06:42+02","NicolienK                                         ","2013-06-28 10:06:42"
4938,"houtvlot, nr. 2                                   ","2013-06-28 14:06:36+02","NicolienK                                         ","2013-06-28 12:06:36"
4944,"houtvlot, nr. 17                                  ","2013-07-02 12:32:28+02","NicolienK                                         ","2013-07-02 10:32:28"
4945,"houtvlot, nr. 20                                  ","2013-07-02 12:39:59+02","NicolienK                                         ","2013-07-02 10:39:59"
